leaid,district_name,current_boundary_since,n_baseline_years,n_efa_years,total_years,data_status,baseline_years_thin,baseline_cagr,covid_drop_pct,recovered_from_covid,efa_cagr,typology,reversal_magnitude
0504740,COUNTY LINE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.01802194248751432,0.006097560975609756,True,-0.015530466646250907,reversal_downward,moderate
0504800,CROSSETT SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.011757005394007813,-0.1495798319327731,False,-0.029243527473999387,accelerating_decline,
0504860,CUTTER MORNING STAR SCHOOL DISTRICT,2013,7,4,13,ok,False,0.01586186970261627,-0.06351550960118169,True,-0.03861935763490043,reversal_downward,large
0504890,DANVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.012261023590964037,-0.15855039637599094,False,0.0013210054988141984,decline_stabilized,
0504930,DARDANELLE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0037833105336102513,-0.042455006922012,False,-0.00503173584886385,emerging_decline,
0504980,DECATUR SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.002484516835785766,-0.08205128205128205,True,-0.017578344814957125,emerging_decline,
0505170,DERMOTT SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.03735753335626746,-0.22535211267605634,False,-0.0481530589453153,accelerating_decline,
0505190,DES ARC SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0,-0.012411347517730497,True,0.01766013972284486,emerging_growth,
0505340,DIERKS SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.007473946576467161,-0.141396933560477,False,0.015068176752567997,reversal_upward,moderate
0505430,DOVER SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.013057700319564658,-0.1559177888022679,False,-0.040651892144034196,accelerating_decline,
0505470,DREW CENTRAL SCHOOL DISTRICT,2013,7,4,13,ok,False,0.02972414499834164,0.04524033930254477,True,-0.016631532379192127,reversal_downward,large
0505500,DUMAS SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.036007389740438045,-0.3194733194733195,False,-0.09091476685030875,accelerating_decline,
0505550,EARLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.02434808609534944,-0.315359477124183,False,-0.04364417056007397,accelerating_decline,
0505580,EAST END SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0007914537615512085,-0.08532934131736528,False,0.0036496673863617435,stable,
0505680,EL DORADO SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.012331453276535065,-0.0979655019902698,False,-0.018747542340354473,sustained_decline,
0505760,ELKINS SCHOOL DISTRICT,2013,7,4,13,ok,False,0.021844030436569906,-0.0007874015748031496,True,0.0014566662979673684,growth_stalled,
0505850,ENGLAND SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.031932030233179476,-0.18610747051114024,False,-0.024479716985287503,sustained_decline,
0505970,EUREKA SPRINGS SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0015491975129524604,-0.11864406779661017,False,-0.01878128127285461,emerging_decline,
0506060,CAMDEN FAIRVIEW SCHOOL DISTRICT,2014,6,4,12,ok,False,-0.022663800671567702,-0.16867939228671602,False,-0.05828094169890152,accelerating_decline,
0506090,FARMINGTON SCHOOL DISTRICT,2013,7,4,13,ok,False,0.016715823016742792,0.006259780907668232,True,0.039395922594834376,growth_throughout,
0506120,FAYETTEVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.01802640828319957,-0.032039668160579765,True,-0.008220079753462617,reversal_downward,moderate
0506150,FLIPPIN SCHOOL DISTRICT,2013,7,4,13,ok,False,0.013511121760139133,-0.029885057471264367,False,-0.04282752645268895,reversal_downward,large
0506210,FORDYCE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01900491726613751,-0.12056737588652482,False,-0.06382843596718135,accelerating_decline,
0506240,FOREMAN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0152776476735077,-0.09375,False,0.013424420678672888,reversal_upward,moderate
0506270,FORREST CITY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.04757319151756212,-0.3235893949694086,False,-0.023035134191450313,sustained_decline,
0506330,FORT SMITH SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.002071764291713185,-0.03782242925676146,False,-0.015272931061382278,emerging_decline,
0506360,FOUKE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.008610174680672822,-0.02938475665748393,True,-0.024634326346323676,reversal_downward,large
0506420,FOUNTAIN LAKE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.006324246143164292,-0.0898876404494382,False,-0.028998138619025005,reversal_downward,large
0506540,GENTRY SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0033355500020424422,-0.015006821282401092,True,0.03311129035229299,emerging_growth,
0506630,GLEN ROSE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.007450916188533663,-0.09351145038167939,False,-0.01395032022710918,reversal_downward,moderate
0506690,CENTERPOINT SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0028704783388426858,-0.01805416248746239,False,-0.0032223639105843915,stable,
0506840,GRAVETTE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0040996569228515245,-0.02566788894709272,True,-0.004020143903749163,stable,
0506870,GREEN FOREST SCHOOL DISTRICT,2013,7,4,13,ok,False,0.017196380618879514,-0.008708272859216255,True,-0.01541992015783833,reversal_downward,moderate
0506900,GREENBRIER SCHOOL DISTRICT,2013,7,4,13,ok,False,0.010912504805671741,0.004221784407542921,True,-0.009174829142677532,reversal_downward,moderate
0506930,GREENLAND SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01106780441594668,-0.16136631330977622,False,-0.045498042637495906,accelerating_decline,
0506990,GREENWOOD SCHOOL DISTRICT,2013,7,4,13,ok,False,0.007192378725538351,-0.014546416291986247,True,-0.010587397199590232,reversal_downward,moderate
0507110,GURDON SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.023322669786776884,-0.1803921568627451,False,-0.029263287429885376,sustained_decline,
0507140,GUY PERKINS SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.036310341622271314,-0.29901960784313725,False,0.011765785274559626,reversal_upward,large
0507170,HACKETT SCHOOL DISTRICT,2015,5,4,11,ok,True,-0.03845709928920693,-0.1521486643437863,False,0.021885932596545477,reversal_upward,large
0507230,HAMPTON SCHOOL DISTRICT,2013,7,4,13,ok,False,0.007634880647368947,-0.1386986301369863,False,-0.023446190917039256,reversal_downward,large
0507290,HARMONY GROVE SCHOOL DISTRICT (Ouachita),2013,7,4,13,ok,False,-0.007319495880341975,-0.09958932238193019,False,-0.020709105973357622,accelerating_decline,
